gene,GSM3601227,GSM3601228,GSM3601229,GSM3601230,GSM3601231,GSM3601232
ENSG00000116406,1.1577,1.0068,0.9789,1.098,1.7979,1.2699
ENSG00000116455,0.2557,0.3332,0.191,0.3453,0.3355,0.3233
ENSG00000116459,1.9576,2.5459,2.2796,2.0538,1.3126,1.9916
ENSG00000116473,3.865,4.2136,4.5176,3.6782,3.7847,3.2644
ENSG00000116478,0.517,0.6716,0.6341,0.6274,1.0759,0.7963
ENSG00000116489,2.2782,1.687,3.5275,2.1642,2.8044,2.5336
ENSG00000116497,12.79,14.8233,11.8608,13.1429,8.8625,12.2844
ENSG00000116514,1.3465,1.1582,1.0466,1.0067,1.6236,1.0569
ENSG00000116521,0.0396,0.0476,0.084,0.0487,0.11,0.0965
ENSG00000116525,0.392,0.2274,0.1146,0.248,0.4358,0.2847
ENSG00000116539,5.0689,5.1047,5.3509,5.2744,6.377,6.0075
ENSG00000116544,0.0739,0.1957,0.0993,0.1702,0.081,0.082
ENSG00000116560,22.4022,23.3782,17.0057,21.4386,17.3846,22.1679
ENSG00000116574,0.1023,0.074,0.1757,0.1264,0.0926,0.1544
ENSG00000116580,6.3702,5.7143,5.9598,6.1596,6.0011,6.6614
ENSG00000116584,3.4031,2.7341,2.6815,3.2438,4.5467,3.5181
ENSG00000116586,0.0511,0.1322,0.0382,0.0924,0.1118,0.0434
ENSG00000116604,1.2215,0.8726,0.955,1.2402,1.7315,1.2982
ENSG00000116641,11.184,11.3183,10.2386,11.7754,8.5909,11.1312
ENSG00000116649,0.5918,0.313,0.6627,0.4558,0.4375,0.4904
ENSG00000116661,0.4038,0.6464,0.6612,0.338,0.3639,0.6032
ENSG00000116663,1.6438,1.1562,1.5928,2.0115,0.741,1.1633
ENSG00000116667,0.517,0.4707,0.4049,0.5885,0.5823,0.6708
ENSG00000116668,0.2557,0.1745,0.6341,0.2286,0.3664,0.1206
ENSG00000116670,0.142,0.0476,0.084,0.034,0.0887,0.0434
ENSG00000116675,0.074,0.154,0.5764,0.1617,0.2387,0.0532
ENSG00000116678,0.4056,0.6423,0.7299,0.6317,0.6658,0.8114
ENSG00000116679,3.7212,3.0725,4.1511,3.5454,4.9555,4.4463
ENSG00000116685,2.1821,2.0817,2.4566,1.9756,1.8586,1.9623
ENSG00000116688,0.9715,1.211,1.9634,1.0456,1.9244,1.0569
ENSG00000116690,0.267,0.0899,0.0701,0.1523,0.16,0.082
ENSG00000116691,0.3579,0.2168,0.6341,0.4231,0.5977,0.2944
ENSG00000116698,1.0738,0.8937,1.0925,1.0845,1.7007,1.1824
ENSG00000116701,5.4483,4.8389,5.5235,5.6852,7.4776,6.0373
ENSG00000116703,0.017,0.0159,0.0076,0.0243,0.0193,0.0048
ENSG00000116704,0.9616,0.8348,0.8006,0.8741,1.1869,0.8576
ENSG00000116711,0.0511,0.0899,0.0382,0.0632,0.0964,0.082
ENSG00000116717,0.0966,0.1005,0.2368,0.1799,0.1658,0.1206
