gene,GSM7813411,GSM7813412,GSM7813413,GSM7813414,GSM7813415,GSM7813416,GSM7813417,GSM7813418,GSM7813419,GSM7813420,GSM7813421,GSM7813422,GSM7813423,GSM7813424
ENSG00000169093,0.6218,1.2113,0.6819,0.6236,0.8658,0.7875,0.677,0.6724,0.666,3.7053,0.5938,0.9329,1.5353,1.2337
ENSG00000169100,55.5421,60.5637,50.4988,39.349,76.3446,67.485,65.3563,73.3749,59.9514,40.8505,65.9888,64.6779,61.406,57.6427
ENSG00000169105,0.8614,0.5239,0.6988,0.6644,0.8409,1.151,0.879,0.8167,0.7617,0.4292,0.9359,0.5382,1.2659,1.0439
ENSG00000169116,4.6504,1.2353,4.4795,3.2817,2.1357,1.4665,2.601,2.2017,1.2537,0.0605,2.91,4.6868,0.1058,0.4292
ENSG00000169118,2.9303,2.6277,2.2279,2.1661,1.8205,2.0125,3.0388,1.864,1.6888,1.8744,3.1361,2.0263,2.621,2.6203
ENSG00000169122,0.5321,0.036,0.041,0.1208,0.0632,0.1824,0.4727,0.0995,0.2685,0.1641,0.2123,0.0246,0.054,0.2404
ENSG00000169126,0.002,0.0072,0.0024,0.0014,0.0082,0.0163,0.0071,0.002,0.0063,0.0029,0.0027,0.0022,0.0022,0.0022
ENSG00000169129,0.0102,0.0168,0.0265,0.2875,0.2776,0.0993,0.0594,0.0341,0.0148,0.0086,0.6314,0.0157,0.0065,0.1056
ENSG00000169131,0.3405,0.2567,0.2867,0.2597,0.3051,0.383,0.3073,0.1987,0.4503,0.4693,0.1747,0.2573,0.0453,0.1685
ENSG00000169136,1.5288,5.5549,1.5274,10.8764,4.5322,6.2279,2.6565,4.6135,19.7425,1.1076,3.1227,1.8282,14.6757,11.3819
ENSG00000169139,4.4532,3.8295,5.0129,3.9342,4.3043,4.1082,4.9287,4.8736,3.3591,6.1342,5.7267,4.8069,5.3937,5.7092
ENSG00000169154,0.002,0.0024,0.0024,0.0042,0.0027,0.0023,0.0024,0.002,0.0021,0.0029,0.0027,0.0022,0.0022,0.0022
ENSG00000169155,2.0476,2.9086,2.221,2.2608,1.9392,2.9738,2.2178,1.7288,2.8826,1.8435,2.4698,2.4567,2.1087,2.3755
ENSG00000169169,0.0866,0.2177,0.0962,0.2119,0.1267,0.2642,0.0308,0.1621,0.305,0.1358,0.1127,0.1218,0.1705,0.1629
ENSG00000169174,0.002,0.0024,0.0024,0.0014,0.0027,0.0023,0.0024,0.006,0.0021,0.0086,0.0027,0.0022,0.0022,0.0022
ENSG00000169180,4.9766,5.668,5.6843,5.3122,7.4242,5.7714,6.6342,6.2158,4.9112,9.2733,7.5691,5.6577,5.7374,6.6764
ENSG00000169181,0.002,0.0072,0.0024,0.0091,0.0027,0.0023,0.0024,0.006,0.0021,0.0086,0.0089,0.0067,0.0022,0.0067
ENSG00000169184,0.002,0.0072,0.0024,0.0014,0.0137,0.0162,0.0071,0.0221,0.0063,0.0029,0.0027,0.0067,0.0151,0.0202
ENSG00000169188,1.8608,2.0789,2.4968,2.0484,2.4323,1.6273,2.6243,2.6111,1.7806,2.0554,2.7682,2.3168,2.3545,3.0721
ENSG00000169189,2.5327,3.1702,3.1494,2.6718,3.5532,3.5286,2.9951,3.2976,2.1893,1.6585,2.8549,4.2489,2.2676,3.6011
ENSG00000169193,0.2181,0.3046,0.3783,0.2486,0.624,0.261,0.2589,0.2027,0.2093,0.3772,0.2768,0.1499,0.1317,0.3573
ENSG00000169194,0.0102,0.0312,0.0024,0.0042,0.0082,0.0254,0.0024,0.006,0.0021,0.0029,0.0027,0.0157,0.0022,0.0022
ENSG00000169203,1.7269,1.5622,1.5094,1.5546,0.4547,1.6657,0.945,1.4706,4.0076,0.8619,1.6192,3.0045,1.5636,1.4966
ENSG00000169208,0.2021,0.2684,0.0498,0.285,0.1352,0.2383,0.1342,0.2576,0.3761,0.2952,0.1511,0.3588,0.2223,0.2948
ENSG00000169213,0.8249,0.5613,0.4133,0.4546,0.5654,1.8078,1.5417,0.5858,0.5206,0.5871,0.4263,0.5209,0.3921,0.3783
ENSG00000169217,3.2681,4.7469,4.4265,3.5456,3.4716,4.224,5.4133,4.7065,2.9789,3.6823,3.5978,3.5503,3.591,2.8742
ENSG00000169218,0.0224,0.0024,0.0024,0.0014,0.0027,0.007,0.0024,0.006,0.0021,0.0029,0.0134,0.0022,0.0022,0.0068
ENSG00000169220,0.63,0.5349,0.5036,0.7041,0.6954,0.4873,0.601,0.7607,0.8436,0.8666,0.8948,0.6465,0.6802,0.627
ENSG00000169221,0.4317,0.4782,0.5264,0.4809,0.5856,0.4357,0.6705,0.5481,0.4313,0.6521,0.4575,0.4473,0.6536,0.571
ENSG00000169223,8.3324,7.9755,6.6386,7.8342,8.0289,8.9215,9.3563,8.6322,7.778,7.805,9.004,6.6152,9.4904,4.3618
ENSG00000169224,0.0296,0.0535,0.0154,0.0325,0.0529,0.0768,0.0119,0.0305,0.0608,0.0291,0.019,0.0291,0.0152,0.0361
ENSG00000169228,1.209,2.1084,1.212,1.3541,1.1572,1.6282,0.8717,1.712,1.7484,0.4347,1.1634,1.8322,0.5506,0.6899
ENSG00000169230,7.1613,6.7274,8.3923,11.3299,7.3795,5.2347,15.2028,9.3219,5.5552,16.8564,11.6083,7.3991,8.3407,7.0633
ENSG00000169231,0.0714,0.1703,0.0843,0.0458,0.1127,0.1917,0.0499,0.0702,0.1839,0.0144,0.0296,0.0694,0.0669,0.0607
ENSG00000169239,0.2849,0.4631,0.2452,0.5011,0.1977,0.72,0.1743,0.3025,0.7959,0.3506,0.2198,0.3109,0.3572,0.5147
ENSG00000169241,1.9195,1.8087,1.9631,1.9167,2.1569,1.7202,1.5407,1.7996,2.2578,1.5512,1.4623,2.8585,1.2625,1.9503
ENSG00000169242,0.3446,0.0504,0.2916,0.0708,0.0137,0.0115,0.1734,0.0341,0.0106,0.1296,0.0618,0.1275,0.0065,0.0022
ENSG00000169245,0.4057,0.0408,0.0699,0.0597,0.6899,0.0115,0.2399,0.0341,0.0021,0.2447,0.0081,0.0157,0.3045,0.1596
ENSG00000169246,0.0405,0.0407,0.0151,0.0197,0.0145,0.0335,0.0246,0.0363,0.0586,0.0435,0.0027,0.0508,0.014,0.0486
ENSG00000169247,0.0632,0.0552,0.041,0.0411,0.0545,0.0529,0.0166,0.0316,0.0928,0.0329,0.0497,0.0899,0.0466,0.0355
ENSG00000169249,3.5036,2.6393,3.98,2.3948,1.6579,2.8609,1.5999,1.7416,1.9547,1.2702,2.2973,1.795,2.8757,1.7981
ENSG00000169251,3.1144,3.3387,3.382,3.3549,3.7073,3.418,3.7082,3.004,3.1577,2.8769,3.0249,5.6849,2.7602,3.7668
ENSG00000169252,0.1461,0.1547,0.0764,0.0446,0.0142,0.054,0.1345,0.18,0.0461,0.0029,0.0358,0.0771,0.0164,0.0367
ENSG00000169255,0.1162,0.2312,0.1581,0.1818,0.2103,0.1637,0.2581,0.1779,0.2782,0.1106,0.1045,0.1133,0.1075,0.1939
ENSG00000169258,0.1516,0.0694,0.088,0.1511,0.0852,0.0254,0.1237,0.2604,0.0128,0.0916,0.1011,0.0416,0.0825,0.0174
ENSG00000169271,0.002,0.0024,0.0024,0.0014,0.0027,0.0023,0.0024,0.002,0.0021,0.0029,0.0134,0.0067,0.0108,0.0202
