gene,GSM7670133,GSM7670134,GSM7670135,GSM7670136,GSM7670137,GSM7670138,GSM7670139,GSM7670140,GSM7670141,GSM7670142,GSM7670143,GSM7670144
ENSG00000011143,0.2929,0.2903,0.2313,0.311,0.3529,0.3322,0.2567,0.2993,0.2541,0.2968,0.2764,0.3057
ENSG00000011198,0.4716,0.4263,0.5447,0.5271,0.5624,0.4596,0.4166,0.5407,0.6073,0.4691,0.4636,0.5237
ENSG00000011201,0.0005,0.0051,0.0005,0.0005,0.0005,0.0005,0.009,0.0005,0.0004,0.0004,0.0095,0.0005
ENSG00000011243,2.7813,2.9095,2.42,2.1282,2.3931,2.7819,3.0608,2.9418,2.53,2.5703,2.7075,2.6271
ENSG00000011258,1.4951,1.8181,1.5706,1.4294,1.4062,1.3191,1.5641,1.6385,1.5719,1.424,1.4707,1.3538
ENSG00000011260,5.3288,5.144,7.6208,4.5737,4.3976,4.1041,4.7922,6.1362,7.59,4.9977,4.6684,4.7305
ENSG00000011275,4.4624,5.4911,5.1793,3.6413,3.8848,3.8077,5.2608,5.6087,5.3897,4.2914,4.6715,4.1126
ENSG00000011295,2.7792,2.6822,3.7263,2.2329,2.3646,2.7294,2.9097,3.4328,3.7465,2.6988,2.3855,2.0864
ENSG00000011304,22.9851,21.3329,23.703,21.6168,21.2251,18.3104,16.9854,24.2008,23.7696,20.4894,19.1822,24.7871
ENSG00000011332,0.1063,0.0569,0.059,0.1939,0.2079,0.0977,0.0803,0.0943,0.0426,0.1061,0.0702,0.1782
ENSG00000011347,0.0096,0.0095,0.0056,0.0037,0.0066,0.0064,0.0035,0.0234,0.0102,0.0102,0.005,0.0027
ENSG00000011376,1.6299,1.5342,1.7607,1.575,1.5755,1.4763,1.4716,1.5367,1.6429,1.7054,1.5742,1.8491
ENSG00000011405,2.0633,2.4945,2.4002,2.2648,1.9928,2.0053,2.1189,2.2096,1.9643,2.0851,2.3638,2.024
ENSG00000011422,0.0738,0.0955,0.0664,0.1047,0.1219,0.0847,0.0883,0.0792,0.0596,0.0612,0.0716,0.107
ENSG00000011426,0.692,0.2567,0.4448,1.5751,1.2696,1.2796,0.1543,0.4352,0.3707,0.9275,0.6572,1.1362
ENSG00000011451,4.4872,4.6898,4.9109,3.8838,4.0546,3.5806,4.1474,5.5978,4.7472,3.8164,4.246,4.743
ENSG00000011454,1.2742,1.3547,1.1657,1.3443,1.2655,1.4158,1.4447,1.2918,1.1762,1.3572,1.3204,1.1938
ENSG00000011465,0.0115,0.0146,0.0017,0.0052,0.0097,0.0059,0.0163,0.0078,0.0057,0.0103,0.0097,0.0122
ENSG00000011478,0.617,0.6883,0.5902,0.411,0.4438,0.4687,0.5846,0.6686,0.5962,0.5193,0.4752,0.4825
ENSG00000011485,4.6742,4.125,5.5708,4.3044,4.2402,4.065,3.4989,5.0845,5.4962,4.3507,3.9461,5.1096
ENSG00000011523,0.8089,0.8818,0.5095,0.6773,0.8145,1.0576,1.0789,0.6043,0.4588,0.8589,0.7415,0.6796
ENSG00000011566,0.5462,0.8723,0.8656,0.6226,0.5179,0.4448,0.7204,0.7209,0.8887,0.5224,0.7465,0.6338
ENSG00000011590,2.384,3.9829,5.4392,1.9902,1.5019,1.7787,2.5556,3.7904,5.299,2.0501,2.9051,2.7274
ENSG00000011600,0.0032,0.0037,0.0402,0.0047,0.0168,0.0024,0.0035,0.0288,0.0325,0.0022,0.0028,0.0093
ENSG00000011638,0.0509,0.0456,0.0614,0.0781,0.0824,0.0696,0.051,0.0397,0.0421,0.0654,0.0474,0.0595
ENSG00000012048,1.1244,0.3376,0.7687,2.6449,2.4055,1.8464,0.3447,1.0164,0.898,1.5769,0.9558,2.2305
ENSG00000012061,3.0643,3.7274,4.2414,2.4706,2.475,2.7282,3.5914,4.2765,4.4675,2.9587,3.5575,2.6599
ENSG00000012124,0.0051,0.0111,0.0025,0.0037,0.0029,0.0015,0.0133,0.0016,0.0023,0.0094,0.0108,0.0051
ENSG00000012171,0.0124,0.0184,0.0046,0.0248,0.0067,0.0044,0.0204,0.0163,0.0138,0.0093,0.0097,0.0071
ENSG00000012174,1.0072,0.9894,1.2982,0.8894,0.7594,0.8622,0.9204,1.04,1.1133,0.922,0.9834,0.7849
ENSG00000012211,0.4963,0.4827,0.5326,0.418,0.3968,0.4187,0.4609,0.4568,0.531,0.4795,0.4724,0.504
ENSG00000012223,0.0005,0.0007,0.0005,0.0026,0.0087,0.0015,0.0007,0.0016,0.0031,0.0013,0.0039,0.0016
ENSG00000012232,0.928,0.8321,0.9415,0.8671,0.8887,0.8247,0.7964,0.9559,0.8944,0.8698,0.8799,0.9841
ENSG00000012504,0.006,0.0068,0.0025,0.0069,0.0077,0.0044,0.0076,0.0201,0.0076,0.0058,0.0073,0.0104
ENSG00000012660,4.9125,6.8141,5.9556,5.524,4.8091,4.8273,5.3679,5.0725,6.0671,5.1242,6.3569,5.2733
ENSG00000012779,0.0122,0.008,0.0041,0.0161,0.0055,0.0225,0.0007,0.0037,0.0022,0.0039,0.0106,0.0374
ENSG00000012817,0.0088,4.9057,0.0056,0.009,0.0087,0.0132,5.465,0.0071,0.0103,0.0031,4.666,0.0027
ENSG00000012822,1.5285,2.1212,0.7019,1.2165,1.3511,2.1206,2.4781,1.1449,0.7819,1.6946,1.5014,0.9913
ENSG00000012963,1.3293,0.9356,1.12,1.9203,1.9157,2.0146,0.9873,1.3518,1.2415,1.5966,1.0192,1.7512
ENSG00000012983,2.5346,3.2432,3.8821,2.7564,2.7559,2.2742,2.8767,3.0943,3.4554,2.2194,2.9931,2.6406
