gene,GSM5470489,GSM5470490,GSM5470491,GSM5470492,GSM5470493,GSM5470494
ENSG00000104859,4.0595,1.3066,4.2031,4.0852,4.6428,7.088
ENSG00000104863,0.3809,0.2728,0.3947,0.1527,0.633,0.5154
ENSG00000104866,2.097,1.8965,2.0135,2.1063,1.8426,2.075
ENSG00000104870,0.5901,1.1936,0.7168,0.6194,0.7094,0.6813
ENSG00000104872,0.8598,0.5192,0.7168,0.7418,1.7111,1.6655
ENSG00000104879,0.0052,0.0123,0.0119,0.0286,0.0223,0.0108
ENSG00000104880,1.3359,0.8192,1.2961,1.0531,1.3904,0.9584
ENSG00000104881,1.3269,0.9274,1.1955,1.2673,1.159,2.0637
ENSG00000104883,0.3403,0.0702,0.3701,0.0944,0.2785,0.2324
ENSG00000104884,0.9522,0.892,1.0345,0.7974,1.0103,1.0716
ENSG00000104885,3.2623,1.6609,3.1515,4.1399,3.6432,4.1644
ENSG00000104886,2.0772,1.8834,2.3312,1.8567,2.2154,2.5816
ENSG00000104888,1.3985,7.0526,1.3714,1.4537,1.2022,0.7884
ENSG00000104889,2.4327,1.8359,2.2289,2.8541,2.4044,2.2979
ENSG00000104892,1.1508,0.7168,1.3055,1.1907,0.9911,1.1218
ENSG00000104894,0.7423,1.3374,0.6185,0.6725,0.7969,0.7612
ENSG00000104897,0.7799,0.6005,1.0833,0.8572,0.8973,0.857
ENSG00000104899,0.156,0.2569,0.1513,0.3106,0.1586,0.1293
ENSG00000104901,0.0004,0.0268,0.0053,0.0076,0.0015,0.0029
ENSG00000104903,0.6418,0.7056,0.3952,0.5105,0.6501,0.4494
ENSG00000104904,3.9905,4.4061,3.4234,6.5819,17.0873,24.445
ENSG00000104907,0.7685,0.8693,0.7434,0.9457,1.722,1.2047
ENSG00000104915,0.5638,0.4005,0.6573,0.5723,1.7692,1.4867
ENSG00000104918,0.0028,0.0098,0.0004,0.0016,0.0026,0.0078
ENSG00000104921,0.0012,0.0055,0.0037,0.001,0.0001,0.0002
ENSG00000104936,1.7001,1.5819,1.9515,1.9665,1.4885,2.6667
ENSG00000104938,0.3415,0.2977,0.3248,0.457,0.3442,0.403
ENSG00000104941,0.006,0.0285,0.0209,0.0089,0.0084,0.0032
ENSG00000104946,3.24,1.9854,4.2708,3.7116,4.9321,5.6035
ENSG00000104951,0.0268,0.0236,0.0492,0.0418,0.0292,0.0297
ENSG00000104953,0.0399,0.0344,0.0201,0.0135,0.0136,0.0218
ENSG00000104957,3.8405,1.5895,4.3983,1.8984,2.9956,2.6581
ENSG00000104960,3.1292,2.9746,4.1996,7.6291,7.297,8.0053
ENSG00000104964,4.1263,6.4193,2.4072,2.4618,5.4458,6.2518
ENSG00000104967,2.1115,4.657,2.1637,2.5697,2.2565,3.0308
ENSG00000104969,4.0219,2.1205,4.3488,4.3994,5.1861,9.6274
ENSG00000104970,0.8681,0.8126,0.6562,0.8553,0.6762,0.6696
ENSG00000104972,0.0126,0.0117,0.0136,0.0036,0.0018,0.0009
ENSG00000104973,1.6405,1.9913,1.9544,1.8446,1.6944,1.6049
ENSG00000104974,0.0041,0.0028,0.0152,0.005,0.0141,0.0013
ENSG00000104976,0.1689,0.2425,0.1939,0.1555,0.5431,0.605
ENSG00000104979,1.4508,1.1216,2.2002,1.1626,5.2309,4.4507
ENSG00000104980,1.2737,1.2751,1.4199,2.4818,2.8454,5.03
ENSG00000104983,0.3494,0.2935,0.4563,0.262,0.3093,0.3467
ENSG00000104998,0.2384,0.4365,0.1923,0.2486,0.1983,0.3462
ENSG00000105011,0.0576,0.0684,0.0644,0.0687,0.1041,0.051
ENSG00000105048,0.1129,0.2107,0.0819,0.122,0.0786,0.0812
ENSG00000105053,3.9566,4.1828,3.5338,5.2135,3.9888,3.4105
ENSG00000105058,0.8217,0.7937,0.8292,1.1256,1.4227,0.7082
ENSG00000105063,1.4565,1.4646,1.7387,2.4018,2.4782,2.3541
ENSG00000105072,0.6464,1.2375,0.6443,0.7664,0.7298,0.834
ENSG00000105085,0.6709,0.4345,0.6706,0.8187,0.667,0.2822
ENSG00000105088,0.9491,1.2516,0.5835,0.3455,0.203,0.4817
ENSG00000105122,0.1753,0.2391,0.08,0.0759,0.1522,0.0745
ENSG00000105127,1.8325,1.3028,1.7423,2.048,1.6163,1.5088
ENSG00000105131,0.0036,0.0183,0.0062,0.0023,0.0029,0.0084
ENSG00000105135,1.3586,0.617,1.3345,0.9131,2.1203,2.475
ENSG00000105136,2.5243,2.1406,2.4471,2.3235,2.0147,1.8266
ENSG00000105137,0.1463,0.3555,0.1349,0.1614,0.0958,0.1454
ENSG00000105141,0.593,0.432,0.6258,0.5367,0.4041,0.3517
ENSG00000105143,2.224,1.9465,2.2953,2.4777,2.0993,2.653
ENSG00000105146,0.1858,0.0964,0.1611,0.1844,0.1886,0.3117
ENSG00000105171,0.5614,0.4022,0.7581,0.667,1.0118,0.5267
ENSG00000105173,0.0665,0.0862,0.066,0.0542,0.0828,0.086
ENSG00000105176,4.7549,3.274,4.3031,5.2744,6.0856,6.2695
ENSG00000105185,1.9638,1.4767,1.7651,1.0672,3.8079,2.9641
ENSG00000105186,0.9139,1.1497,0.8896,1.3098,0.8861,1.2838
ENSG00000105193,6.4994,7.4401,7.4148,6.8056,34.463,34.245
ENSG00000105197,6.2552,4.9582,6.1899,5.4956,4.7764,5.4061
ENSG00000105198,0.0004,0.003,0.0004,0.0003,0.0001,0.0002
ENSG00000105202,0.4389,0.4464,0.5422,0.4042,0.9122,0.9801
ENSG00000105204,0.191,0.3517,0.2378,0.2252,0.176,0.0777
ENSG00000105205,0.0004,0.0038,0.0004,0.0003,0.0001,0.0002
ENSG00000105219,0.0423,0.0454,0.0226,0.2179,0.0697,0.1195
ENSG00000105220,9.7252,11.1803,7.1209,6.495,6.0726,7.1397
ENSG00000105221,8.738,5.6351,9.7184,10.4888,7.7699,11.1739
ENSG00000105223,5.2262,6.3681,5.085,6.4941,7.731,6.1526
ENSG00000105227,0.0841,0.3178,0.0971,0.1725,0.0657,0.1157
ENSG00000105229,2.9853,1.5288,2.35,6.2622,4.8339,6.8544
ENSG00000105245,1.0379,2.167,1.6421,1.5968,0.9861,1.5954
ENSG00000105246,0.0367,0.1015,0.0119,0.0345,0.0743,0.0145
ENSG00000105248,0.3948,0.3584,0.5637,0.3488,0.9254,0.5478
ENSG00000105251,0.0834,0.161,0.0734,0.0726,0.1194,0.2526
ENSG00000105254,6.2154,2.433,5.884,5.7086,10.695,11.2641
ENSG00000105255,1.374,1.9913,1.1486,1.811,3.2045,3.0246
ENSG00000105258,3.4113,2.0041,5.1588,1.7406,10.0647,7.8028
ENSG00000105261,0.0302,0.0081,0.0939,0.097,0.0363,0.0117
ENSG00000105270,2.5594,4.9465,2.5827,2.333,2.7174,2.6312
ENSG00000105278,0.6602,1.1797,0.5701,0.7889,0.6104,1.0126
ENSG00000105281,0.1331,0.403,0.1584,0.2082,0.1902,0.11
ENSG00000105287,1.026,1.1948,1.2975,1.3671,1.114,1.6288
ENSG00000105289,0.2019,0.1474,0.2259,0.4974,0.3324,0.414
ENSG00000105290,38.9146,4.7614,36.0306,29.3426,63.3311,58.5336
ENSG00000105298,1.0291,0.763,1.1178,1.1122,1.1529,1.0315
ENSG00000105321,0.6376,0.703,1.0022,0.7583,0.6173,1.4056
ENSG00000105323,4.2279,3.7502,4.2429,4.9133,4.5464,4.6995
ENSG00000105325,1.458,1.3008,1.6744,1.1067,1.2159,1.6964
ENSG00000105327,0.052,0.2833,0.0496,0.0483,0.0377,0.1372
ENSG00000105329,0.5856,1.3771,0.4935,0.7538,0.5508,0.8133
ENSG00000105339,2.5869,4.9746,1.6588,2.1002,1.7577,4.6884
ENSG00000105341,1.5061,1.365,1.4828,1.4362,1.9117,1.8798
ENSG00000105352,0.0026,0.0179,0.007,0.0079,0.0052,0.0077
ENSG00000105355,4.9521,0.8225,4.5746,2.1034,7.8414,9.789
ENSG00000105357,2.8194,1.8175,3.0333,3.4656,2.3743,2.6175
ENSG00000105364,1.256,1.337,1.3276,1.1862,2.4348,1.3578
ENSG00000105366,1.1915,1.3039,1.2935,1.5067,1.0324,1.0616
ENSG00000105369,0.0052,0.0072,0.0086,0.0135,0.0145,0.0455
ENSG00000105370,0.0004,0.0038,0.0012,0.0003,0.0001,0.0008
ENSG00000105371,0.3726,0.2739,0.3784,0.3851,0.3047,0.4291
ENSG00000105372,7.4125,14.1427,10.709,10.1969,43.8182,37.5644
ENSG00000105373,2.9157,3.2763,2.8105,3.2411,6.3907,6.7079
ENSG00000105374,0.0052,0.0166,0.0103,0.0168,0.1029,0.0266
ENSG00000105376,0.0512,0.5636,0.0144,0.0615,0.1682,0.0729
ENSG00000105379,7.828,4.3799,10.0057,4.889,10.1694,7.5823
ENSG00000105383,0.3418,0.439,0.2806,0.3057,0.2689,0.2295
ENSG00000105388,0.1046,0.084,0.1258,0.093,0.0718,0.0861
ENSG00000105392,1.914,1.2788,1.8568,1.6327,1.818,1.5944
ENSG00000105393,1.6243,1.4248,1.7277,1.3083,2.2929,2.2312
ENSG00000105397,1.2968,0.9657,1.4614,1.6726,1.9798,2.2572
ENSG00000105398,0.8206,0.7122,0.9475,0.8341,0.9434,0.972
ENSG00000105401,3.4646,2.7491,3.825,1.663,3.5084,2.9681
ENSG00000105402,1.539,2.2148,1.957,2.3237,1.9015,1.9426
ENSG00000105404,3.5846,2.1936,5.0411,2.9108,15.0104,9.4134
ENSG00000105409,1.187,6.5291,0.5471,1.0157,0.7715,0.5431
ENSG00000105419,0.4437,1.5586,0.7909,0.7016,0.4753,0.4171
ENSG00000105426,4.3307,2.7801,5.942,3.5124,2.4349,2.1792
ENSG00000105427,0.0109,0.0514,0.0185,0.0155,0.0226,0.0239
ENSG00000105428,0.0004,0.0064,0.0021,0.0016,0.001,0.0005
ENSG00000105429,1.73,2.6505,1.8587,1.9605,2.0514,1.1877
ENSG00000105438,2.1419,4.3881,2.031,1.9767,1.8488,1.7375
ENSG00000105443,2.511,1.5574,2.8561,3.0755,3.416,5.1753
ENSG00000105447,0.6817,0.8415,0.9581,0.954,1.2101,0.693
ENSG00000105464,0.2752,0.1457,0.5982,0.1949,0.1753,0.0662
ENSG00000105467,0.002,0.0038,0.0021,0.0016,0.0013,0.0026
ENSG00000105472,0.4195,0.3521,0.5228,0.1496,1.2825,0.7749
ENSG00000105479,0.3517,4.3328,0.2837,0.3192,0.3087,0.4343
ENSG00000105483,3.7344,2.9617,2.9467,3.6191,3.0985,2.0314
ENSG00000105486,1.7446,0.7258,1.9832,1.761,1.8459,2.1552
ENSG00000105492,0.471,0.5403,0.446,0.5512,0.3701,0.4916
ENSG00000105497,1.8437,1.2548,1.8494,2.5028,1.6491,0.9935
ENSG00000105499,8.2972,2.7115,4.5589,7.6098,4.49,7.1748
ENSG00000105501,0.004,0.022,0.0153,0.0039,0.0105,0.0087
ENSG00000105507,0.0197,0.0293,0.0103,0.0174,0.0008,0.0023
ENSG00000105509,0.0286,0.0217,0.0299,0.0286,0.0356,0.1064
ENSG00000105514,0.6022,1.0684,0.6028,0.6611,0.7396,0.6004
ENSG00000105516,2.277,1.7177,2.1562,2.7066,2.7675,2.7694
ENSG00000105518,1.2418,0.9549,1.124,1.1992,3.9595,2.5748
ENSG00000105519,4.1785,13.7663,5.6746,6.8924,7.484,5.6663
ENSG00000105520,1.3827,1.3731,1.6003,1.2028,1.4426,2.3127
ENSG00000105523,0.2847,0.1436,0.3274,0.2805,0.2397,0.2218
ENSG00000105538,0.1132,0.5058,0.1013,0.2929,0.2268,0.1107
ENSG00000105549,0.0004,0.0208,0.0012,0.0023,0.0001,0.0002
ENSG00000105550,0.0004,0.0055,0.0004,0.0003,0.0031,0.0002
ENSG00000105552,1.1626,1.3915,1.6088,1.1356,1.8059,1.5311
ENSG00000105556,0.734,0.8048,0.8146,1.3977,0.9571,1.0134
ENSG00000105559,0.6275,1.8699,0.8254,0.6768,0.4602,0.5551
ENSG00000105568,3.012,5.4474,2.9893,2.775,3.9768,4.3713
ENSG00000105576,3.446,3.257,3.6996,3.0719,7.3183,4.68
ENSG00000105583,1.931,1.0545,2.0356,1.4728,7.3754,5.0182
ENSG00000105605,0.7339,0.6604,0.7491,0.5638,0.8357,0.8008
ENSG00000105607,1.4597,0.6197,1.6279,1.4954,3.1214,1.8649
ENSG00000105609,0.5181,0.4894,0.5037,0.5171,0.3662,0.5816
ENSG00000105610,0.0134,0.0107,0.0095,0.0083,0.005,0.0002
ENSG00000105612,0.5607,0.5514,0.4897,0.4479,0.6376,0.4573
ENSG00000105613,1.0704,3.2479,0.8105,1.3849,1.0986,0.9537
