gene,GSM5470483,GSM5470484,GSM5470485,GSM5470486,GSM5470487,GSM5470488,GSM5903107,GSM5903108,GSM5903109,GSM5903110,GSM5903111,GSM5903112,GSM5903113,GSM5903114
ENSG00000120334,0.5426,0.6817,0.6562,1.1667,0.573,0.5121,0.5717,0.6007,0.4725,0.8432,0.6473,0.6826,0.6798,0.9297
ENSG00000120337,0.0067,0.0063,0.012,0.0163,0.0078,0.0005,0.0004,0.0003,0.0091,0.0149,0.007,0.0058,0.0052,0.0085
ENSG00000120341,0.1758,0.303,0.0965,0.2018,0.4728,0.2937,0.1393,0.2465,0.4214,0.1878,0.0975,0.2777,0.1407,0.2019
ENSG00000120370,0.4301,0.3,0.5315,0.4104,0.4047,0.4352,0.8323,0.3872,0.4335,0.4588,0.3394,0.3929,0.2464,0.3678
ENSG00000120436,0.0003,0.0004,0.0005,0.0105,0.0003,0.0005,0.0004,0.0056,0.001,0.0003,0.0004,0.0004,0.0003,0.0004
ENSG00000120437,0.7192,0.6958,2.2187,0.3216,0.6484,3.4919,0.2705,0.6143,0.3312,1.5313,1.3626,0.5651,1.2031,0.4678
ENSG00000120438,6.4375,3.4851,27.6526,13.0429,5.4346,34.5818,16.2578,5.2581,6.2344,4.6246,8.5397,3.6262,10.9933,2.7424
ENSG00000120440,0.0214,0.0349,0.0563,0.0648,0.0344,0.0597,0.0196,0.0396,0.0219,0.0244,0.0302,0.0397,0.0287,0.0486
ENSG00000120451,1.5964,1.9637,1.145,1.7777,1.5229,1.5069,2.3462,2.2106,1.4541,3.4987,2.2916,2.239,2.3877,2.5707
ENSG00000120457,0.6588,0.7423,1.4888,0.974,0.7108,1.9504,0.5372,1.2124,0.6749,1.0044,0.6559,1.1506,1.0695,0.8478
ENSG00000120458,0.6815,1.0968,1.1721,1.6253,1.0719,1.438,1.2582,1.5295,1.2247,1.3811,1.5377,1.1429,2.2193,1.9274
ENSG00000120471,0.4945,0.0843,0.0318,0.0459,0.1189,0.0491,0.0588,0.0443,0.1361,0.0307,0.0371,0.0665,0.0821,0.0375
ENSG00000120498,0.0223,0.0234,0.0348,0.041,0.0298,0.0285,0.0205,0.0252,0.0118,0.0236,0.0286,0.0181,0.0302,0.066
ENSG00000120500,0.0359,0.0265,0.0266,0.0258,0.0421,0.0147,0.0103,0.0206,0.0097,0.0394,0.0278,0.0611,0.0328,0.0651
ENSG00000120509,1.4962,0.5824,0.5951,0.3484,0.746,0.7526,1.2673,0.5723,0.7587,0.8019,0.6221,0.5066,0.5416,0.3136
ENSG00000120519,0.5106,0.4849,0.3458,0.4027,0.5358,0.5241,0.3858,0.5116,0.3088,0.5788,0.6295,0.5448,0.6142,0.6916
ENSG00000120526,0.6616,0.5848,0.3521,1.0552,0.7892,0.4685,0.8083,0.617,0.8887,0.5357,0.7191,0.5347,0.7524,0.5248
ENSG00000120533,5.9436,4.3391,7.8127,4.4422,5.2877,4.9945,4.9381,4.9827,3.373,5.9433,6.8632,3.8621,6.4343,3.4722
ENSG00000120539,0.1303,0.2039,0.276,0.4148,0.2196,0.2532,0.2394,0.3297,0.1454,0.1162,0.2277,0.2251,0.171,0.3819
ENSG00000120549,1.148,0.2695,0.1028,0.4429,1.148,1.069,1.0341,0.5928,1.3098,0.2548,0.275,0.456,0.4275,0.3363
ENSG00000120555,0.0523,0.0503,0.3844,0.0785,0.0655,0.4802,0.0797,0.0281,0.038,0.0641,0.0212,0.0792,0.0457,0.078
ENSG00000120563,0.0003,0.0004,0.0005,0.0067,0.0003,0.0005,0.0004,0.0003,0.0003,0.0003,0.0004,0.0008,0.001,0.0028
