gene,GSM2677508,GSM2677509,GSM2677510,GSM2677511,GSM2677512,GSM2677513,GSM2677514,GSM2677515,GSM2677516,GSM2677517
ENSG00000113328,1.8498,2.3071,4.15,2.6719,2.296,2.6344,2.3518,2.7798,2.4652,1.8494
ENSG00000113356,0.3904,0.444,0.2037,0.2907,0.3673,0.6768,0.4857,0.7904,0.6241,0.575
ENSG00000113360,1.9157,1.8543,3.0503,2.3696,1.7419,1.9223,2.4446,2.3316,1.9186,2.7589
ENSG00000113361,1.0747,1.1312,0.7555,0.7454,0.7886,1.445,0.8304,1.083,1.5909,1.2216
ENSG00000113368,0.1328,0.1565,0.1548,0.2575,0.1984,0.2048,0.1684,0.153,0.2063,0.1907
ENSG00000113369,1.5791,3.8127,2.9358,3.7992,1.459,1.6037,3.6746,3.5884,3.258,4.4168
ENSG00000113384,2.7078,2.6168,3.4714,2.9836,2.9517,2.9667,2.8055,2.3799,2.4787,2.2562
ENSG00000113387,3.3568,2.4255,3.2358,4.1882,3.0743,2.4352,3.4741,3.2745,2.6424,5.3724
ENSG00000113389,0.0503,0.0782,0.0339,0.0668,0.037,0.0463,0.0784,0.0315,0.0286,0.0779
ENSG00000113391,1.2544,1.5235,2.2737,1.9164,1.6845,1.7604,1.9867,1.7801,1.7607,1.9993
ENSG00000113396,3.5118,0.4902,0.7175,0.7845,1.1228,0.3955,1.4041,1.2674,0.3476,0.6838
ENSG00000113407,4.4105,2.1256,3.3606,2.1677,2.4371,2.4425,2.5054,2.6488,2.3163,2.4796
ENSG00000113430,0.0016,0.006,0.0013,0.0044,0.0046,0.0125,0.002,0.0006,0.0005,0.0035
ENSG00000113441,2.5761,2.9703,2.6947,3.0388,3.4426,3.2039,3.4055,2.3904,2.4482,2.3755
ENSG00000113448,2.2876,1.6387,2.9581,2.8114,0.8628,0.7509,1.3776,0.8616,1.0761,1.1848
ENSG00000113456,1.1539,0.9365,0.8457,0.9164,0.9904,1.2154,0.8593,0.8161,0.8062,1.0894
ENSG00000113460,0.8658,0.7741,0.7869,0.6065,0.6363,1.0327,0.6783,0.8953,0.7608,0.7351
ENSG00000113492,0.0209,0.0026,0.0065,0.0083,0.0012,0.0009,0.0004,0.0017,0.0026,0.0015
ENSG00000113494,1.4426,0.3543,0.3294,0.8228,0.6046,0.118,0.4135,0.2273,0.137,2.077
ENSG00000113504,2.2488,2.1497,1.6171,1.4298,2.1956,1.485,0.7884,1.0602,1.3022,1.0809
ENSG00000113520,0.0015,0.0043,0.0022,0.0012,0.0062,0.0009,0.0043,0.0028,0.0036,0.0005
ENSG00000113522,2.5424,3.4015,2.164,1.5675,2.1456,3.1446,2.0057,2.6147,2.2594,2.6392
ENSG00000113525,0.0025,0.0043,0.0057,0.0067,0.0037,0.0047,0.0145,0.0138,0.0088,0.0015
ENSG00000113532,0.7137,0.7151,0.6516,1.323,0.9145,0.695,0.5435,0.4808,0.5317,0.8843
ENSG00000113552,1.5974,0.9521,1.4694,1.3951,1.5563,0.8033,1.2558,1.0223,1.1414,1.271
ENSG00000113555,0.3303,0.4354,0.2175,0.2939,0.3948,0.4276,0.276,0.3032,0.2811,0.1848
ENSG00000113558,10.9303,10.1037,16.4735,11.952,9.4093,8.754,12.3251,16.3852,11.8136,14.3773
ENSG00000113569,1.1796,1.0391,1.2117,1.0375,0.9874,1.1126,1.1286,1.0102,1.0576,1.0328
ENSG00000113575,5.8297,4.5001,6.2501,5.5274,5.4397,4.6725,5.665,5.6753,5.2511,5.7358
ENSG00000113578,8.3483,27.0653,30.6116,13.2963,14.8525,16.2436,24.782,37.4236,22.7052,26.4914
ENSG00000113580,2.8307,3.3867,3.7845,2.774,3.004,3.314,3.2907,3.9883,2.9253,3.3826
ENSG00000113583,0.89,1.0205,1.2679,1.2638,1.2385,1.0808,1.346,1.4951,1.2942,1.5347
ENSG00000113593,0.7303,0.8221,1.1545,1.0082,0.919,1.0543,1.1294,1.504,1.2734,1.0906
ENSG00000113594,4.2941,5.3725,26.8944,10.2684,12.8,9.0659,15.0648,6.2082,6.2653,4.2846
